Date,GMV,Merchant Transactions,Total Transactions,Average Monthly Transacting Users (MTU),Registered Merchants (end of period) ,"Payment Devices (cumulative, end of period)",Volume of loans distributed,Postpaid Loans,Personal Loans,Merchant Loans,Value of loans distributed,Postpaid Loans,Personal Loans,Merchant Loans,EBITDA Loss,Net Payments Margin
01-06-2020,8.5,1.0,1.2,4.0,17,0.0,23,20,0,3,5,2,0,3,-34.59,
01-09-2020,11.6,1.2,1.6,4.3,19,0.3,349,332,0,17,25,9,0,16,-53.23,
01-12-2020,13.6,1.6,2.0,4.7,20,0.6,881,851,5,25,57,29,3,25,-65.16,
01-03-2021,15.5,2.1,2.6,5.0,21,0.8,"1,381","1,355",9,17,84,51,8,25,-54.08,
01-06-2021,17.9,2.3,2.8,5.0,22,0.9,"1,433","1,413",13,6,77,54,14,9,-46.53,13
01-09-2021,23.9,2.7,3.3,5.7,23,1.3,"2,841","2,790",29,23,153,90,30,33,-57.73,10
01-12-2021,30.5,3.5,4.3,6.4,25,2.0,"4,414","4,320",60,35,266,145,63,58,-94.88,25
01-03-2022,31.5,4.1,5.0,7.1,27,2.9,"6,544","6,414",92,38,433,266,98,69,-92.94,32
01-06-2022,36.1,5.1,6.1,7.5,28,3.8,"8,478","8,286",132,60,676,412,164,101,-78.56,46
01-09-2022,38.7,5.8,6.9,8.0,30,4.8,"9,192","8,924",189,80,891,493,250,147,-69.55,53
01-12-2022,42.1,6.3,7.6,8.5,31,5.8,"10,473","10,105",244,123,"1,213",634,357,222,-47.75,55
01-03-2023,44.1,6.9,8.4,9.0,34,6.8,"11,910","11,503",269,137,"1,529",828,420,282,-20.41,83
01-06-2023,49.3,8.0,9.6,9.2,36,7.9,"12,759","12,314",301,144,"1,808",979,495,334,-43.65,78
01-09-2023,54.1,9.1,10.9,95.0,37.5,9.2,"13,235","12,812",240,184,"1,949","1,083",472,394,-35.00,85
01-12-2023,61.3,10.0,11.9,100.0,39.3,10.6,"11,477","11,046",265,178,"1,867",901,536,430,-27.00,90
