Time,Amount,V1,V2,V3,V4,V5,Class
0,120.50,-1.25,0.85,2.10,0.35,-0.55,0
12,2500.00,-3.50,4.20,-2.80,3.50,-1.20,1
30,45.00,0.50,-0.30,1.20,-0.40,0.60,0
45,180.00,-0.80,0.60,0.90,0.20,-0.50,0
60,5200.00,-4.80,5.10,-3.90,4.20,-2.10,1
75,99.99,0.20,0.10,0.80,-0.20,0.30,0
90,1500.00,-2.90,3.50,-2.20,2.90,-1.00,1
105,300.00,-0.60,0.50,1.50,0.10,-0.20,0
120,75.00,0.80,-0.20,1.10,-0.50,0.40,0
135,6500.00,-5.50,6.00,-4.50,5.00,-3.20,1
150,220.00,-0.40,0.30,1.30,-0.10,0.10,0
165,80.00,0.90,-0.40,1.60,-0.60,0.50,0
180,4200.00,-4.20,4.80,-3.20,4.10,-2.40,1
195,110.00,0.10,0.20,0.90,-0.30,0.20,0
210,60.00,0.70,-0.10,1.20,-0.40,0.30,0
225,5800.00,-5.00,5.60,-4.10,4.80,-3.00,1
240,140.00,-0.20,0.40,1.00,-0.20,-0.10,0
255,90.00,0.60,-0.30,1.40,-0.50,0.40,0
270,3500.00,-3.80,4.30,-3.00,3.70,-2.20,1
285,170.00,-0.50,0.20,1.10,-0.10,0.20,0
300,85.00,0.40,-0.10,1.30,-0.40,0.50,0
315,4900.00,-4.60,5.20,-3.70,4.50,-2.70,1
330,210.00,-0.30,0.50,1.00,-0.20,0.10,0
345,130.00,0.30,-0.20,1.50,-0.60,0.60,0
360,7000.00,-6.00,6.50,-5.00,5.30,-3.50,1
375,95.00,0.50,-0.10,1.20,-0.40,0.30,0
390,260.00,-0.70,0.60,1.10,0.20,-0.40,0
405,4100.00,-4.10,4.90,-3.40,4.00,-2.50,1
420,180.00,-0.40,0.30,1.20,-0.20,0.20,0
435,100.00,0.60,-0.20,1.30,-0.50,0.40,0
